seat,held,held_name
AL-07,D,Terri Sewell
AZ-02,D,Ann Kirkpatrick
AZ-03,D,Raúl Grijalva
AZ-07,D,Ruben Gallego
AZ-09,D,Greg Stanton
CA-02,D,Jared Huffman
CA-03,D,John Garamendi
CA-05,D,Mike Thompson
CA-06,D,Doris Matsui
CA-07,D,Ami Bera
CA-09,D,Jerry McNerney
CA-11,D,Mark DeSaulnier
CA-12,D,Nancy Pelosi
CA-13,D,Barbara Lee
CA-14,D,Jackie Speier
CA-15,D,Eric Swalwell
CA-16,D,Jim Costa
CA-17,D,Ro Khanna
CA-18,D,Anna Eshoo
CA-19,D,Zoe Lofgren
CA-20,D,Jimmy Panetta
CA-24,D,Salud Carbajal
CA-26,D,Julia Brownley
CA-27,D,Judy Chu
CA-28,D,Adam Schiff
CA-29,D,Tony Cárdenas
CA-30,D,Brad Sherman
CA-31,D,Pete Aguilar
CA-32,D,Grace Napolitano
CA-33,D,Ted Lieu
CA-34,D,Jimmy Gomez
CA-35,D,Norma Torres
CA-36,D,Raul Ruiz
CA-37,D,Karen Bass
CA-38,D,Linda Sánchez
CA-40,D,Lucille Roybal-Allard
CA-41,D,Mark Takano
CA-43,D,Maxine Waters
CA-44,D,Nanette  Barragan
CA-45,D,Katie Porter
CA-46,D,Lou  Correa
CA-47,D,Alan Lowenthal
CA-49,D,Mike Levin
CA-51,D,Juan Vargas
CA-52,D,Scott Peters
CA-53,D,Susan Davis
CO-01,D,Diana DeGette
CO-02,D,Joe Neguse
CO-06,D,Jason Crow
CO-07,D,Ed Perlmutter
CT-01,D,John Larson
CT-02,D,Joe Courtney
CT-03,D,Rosa DeLauro
CT-04,D,Jim Himes
CT-05,D,Jahana Hayes
DE-00,D,Lisa Blunt Rochester
FL-05,D,Al Lawson
FL-07,D,Stephanie  Murphy
FL-09,D,Darren  Soto
FL-10,D,Val Demings
FL-13,D,Charlie Crist
FL-14,D,Kathy Castor
FL-20,D,Alcee Hastings
FL-21,D,Lois Frankel
FL-22,D,Ted Deutch
FL-23,D,Debbie Wasserman Schultz
FL-24,D,Frederica Wilson
GA-02,D,Sanford Bishop
GA-04,D,Henry Johnson
GA-05,E,
GA-13,D,David Scott
HI-01,D,Ed Case
HI-02,D,Tulsi Gabbard
IL-01,D,Bobby Rush
IL-02,D,Robin Kelly
IL-03,D,Dan Lipinski
IL-04,D,Jesus Garcia
IL-05,D,Mike Quigley
IL-06,D,Sean Casten
IL-07,D,Danny Davis
IL-08,D,Raja  Krishnamoorthi
IL-09,D,Janice Schakowsky
IL-10,D,Bradley Schneider
IL-11,D,Bill Foster
IN-01,D,Pete Visclosky
IN-07,D,André Carson
KS-03,D,Sharice Davids
KY-03,D,John Yarmuth
LA-02,D,Cedric Richmond
MA-01,D,Richard Neal
MA-02,D,James McGovern
MA-03,D,Lori Trahan
MA-04,D,Joe Kennedy III
MA-05,D,Katherine Clark
MA-06,D,Seth Moulton
MA-07,D,Ayanna Pressley
MA-08,D,Stephen Lynch
MA-09,D,Bill Keating
MD-02,D,Dutch Ruppersberger
MD-03,D,John Sarbanes
MD-04,D,Anthony Brown
MD-05,D,Steny Hoyer
MD-06,D,David Trone
MD-07,D,Vacant
