state,name,held,projection,state_unique
AZ,Sinema,D,noelectiondem,AZno
CA,Feinstein,D,noelectiondem,CAno
CA,Harris,D,noelectiondem,CAno2
CO,Bennet,D,noelectiondem,COno
CT,Murphy,D,noelectiondem,CTno
CT,Blumenthal,D,noelectiondem,CTno2
DE,Carper,D,noelectiondem,DEno
HI,Mirono,D,noelectiondem,HIno
HI,Schatz,D,noelectiondem,HIno2
IL,Duckworth,D,noelectiondem,ILno
MA,Warren,D,noelectiondem,MAno
MD,Van Hollen,D,noelectiondem,MDno
MD,Cardin,D,noelectiondem,MDno2
ME,King,I,noelectiondem,MEno
MI,Stabenow,D,noelectiondem,MIno
MN,Klobuchar,D,noelectiondem,MNno
MT,Tester,D,noelectiondem,MTno
NH,Hassan,D,noelectiondem,NHno
NJ,Menendez,D,noelectiondem,NJno
NM,Heinrich,D,noelectiondem,NMno
NV,Rosen,D,noelectiondem,NVno
NV,Cortez Masto,D,noelectiondem,NVno2
NY,Gillibrand,D,noelectiondem,NYno
NY,Schumer,D,noelectiondem,NYno2
OH,Brown,D,noelectiondem,OHno
OR,Wyden,D,noelectiondem,ORno
PA,Casey Jr.,D,noelectiondem,PAno
RI,Whitehouse,D,noelectiondem,RIno
VA,Kaine,D,noelectiondem,VAno
VT,Sanders,I,noelectiondem,VTno
VT,Leahy,D,noelectiondem,VTno2
WA,Murray,D,noelectiondem,WAno
WA,Cantwell,D,noelectiondem,WAno2
WI,Baldwin,D,noelectiondem,WIno
WV,Manchin,D,noelectiondem,WVno
AK,Murkowski,R,noelectionrep,AKno
AL,Shelby,R,noelectionrep,ALno
AR,Boozman,R,noelectionrep,ARno
FL,Scott,R,noelectionrep,FLno
FL,Rubio,R,noelectionrep,FLno2
IA,Grassley,R,noelectionrep,IAno
ID,Crapo,R,noelectionrep,IDno
IN,Braun,R,noelectionrep,INno
IN,Young,R,noelectionrep,INno2
KS,Moran,R,noelectionrep,KSno
KY,Paul,R,noelectionrep,KYno
LA,Kennedy,R,noelectionrep,LAno
MO,Blunt,R,noelectionrep,MOno
MO,Hawley,R,noelectionrep,MOno2
MS,Wicker,R,noelectionrep,MSno
NC,Burr,R,noelectionrep,NCno
ND,Cramer,R,noelectionrep,NDno
ND,Hoeven,R,noelectionrep,NDno2
NE,Fischer,R,noelectionrep,NEno
OH,Portman,R,noelectionrep,OHno2
OK,Lankford,R,noelectionrep,OKno
PA,Toomey,R,noelectionrep,PAno2
SC,Scott,R,noelectionrep,SCno
SD,Thune,R,noelectionrep,SDno
TN,Blackburn,R,noelectionrep,TNno
TX,Cruz,R,noelectionrep,TXno
UT,Lee,R,noelectionrep,UTno
UT,Romney,R,noelectionrep,UTno2
WI,Johnson,R,noelectionrep,WIno2
WY,Barrasso,R,noelectionrep,WYno
